//Loading PDBs.
//PDB loading of cell: SRAMNSA_1
//Making the stats.
GID                       totalC    totalCC    ratioCC     Cell    Layout   Source
102                      2.77e-16   2.35e-19   8.48e-04    SRAMNSA_1  WL<34>  WL<34>  
103                      2.77e-16   2.35e-19   8.48e-04    SRAMNSA_1  WL<35>  WL<35>  
104                      2.77e-16   2.35e-19   8.48e-04    SRAMNSA_1  WL<36>  WL<36>  
105                      2.77e-16   2.35e-19   8.48e-04    SRAMNSA_1  WL<37>  WL<37>  
106                      2.77e-16   2.35e-19   8.48e-04    SRAMNSA_1  WL<38>  WL<38>  
107                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<39>  WL<39>  
108                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<40>  WL<40>  
109                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<41>  WL<41>  
110                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<42>  WL<42>  
111                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<43>  WL<43>  
112                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<44>  WL<44>  
113                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<45>  WL<45>  
114                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<46>  WL<46>  
115                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<47>  WL<47>  
116                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<48>  WL<48>  
117                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<49>  WL<49>  
118                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<50>  WL<50>  
119                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<51>  WL<51>  
120                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<52>  WL<52>  
121                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<53>  WL<53>  
122                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<54>  WL<54>  
123                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<55>  WL<55>  
124                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<56>  WL<56>  
125                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<57>  WL<57>  
126                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<58>  WL<58>  
127                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<59>  WL<59>  
128                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<60>  WL<60>  
129                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<61>  WL<61>  
130                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<62>  WL<62>  
131                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<63>  WL<63>  
132                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<64>  WL<64>  
133                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<65>  WL<65>  
134                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<66>  WL<66>  
135                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<67>  WL<67>  
136                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<68>  WL<68>  
137                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<69>  WL<69>  
138                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<70>  WL<70>  
139                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<71>  WL<71>  
140                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<72>  WL<72>  
141                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<73>  WL<73>  
142                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<74>  WL<74>  
143                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<75>  WL<75>  
144                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<76>  WL<76>  
145                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<77>  WL<77>  
146                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<78>  WL<78>  
147                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<79>  WL<79>  
148                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<80>  WL<80>  
149                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<81>  WL<81>  
150                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<82>  WL<82>  
151                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<83>  WL<83>  
