//Loading PDBs.
//PDB loading of cell: SRAM_16B_2
//Making the stats.
GID                       totalC    totalCC    ratioCC     Cell    Layout   Source
80                       3.55e-18   0.00e+00   0.00e+00    SRAM_16B_2  X2/X1/X0/X1/14  XI10/NET35  
81                       3.55e-18   0.00e+00   0.00e+00    SRAM_16B_2  X2/X1/X1/X1/11  XI11/NET33  
82                       3.54e-18   0.00e+00   0.00e+00    SRAM_16B_2  X2/X1/X1/X1/12  XI11/NET34  
83                       3.54e-18   0.00e+00   0.00e+00    SRAM_16B_2  X2/X1/X1/X1/13  XI11/NET36  
84                       3.55e-18   0.00e+00   0.00e+00    SRAM_16B_2  X2/X1/X1/X1/14  XI11/NET35  
85                       3.55e-18   0.00e+00   0.00e+00    SRAM_16B_2  X3/X0/X0/X1/11  XI12/NET33  
86                       3.54e-18   0.00e+00   0.00e+00    SRAM_16B_2  X3/X0/X0/X1/12  XI12/NET34  
87                       3.54e-18   0.00e+00   0.00e+00    SRAM_16B_2  X3/X0/X0/X1/13  XI12/NET36  
88                       3.55e-18   0.00e+00   0.00e+00    SRAM_16B_2  X3/X0/X0/X1/14  XI12/NET35  
89                       3.55e-18   0.00e+00   0.00e+00    SRAM_16B_2  X3/X0/X1/X1/11  XI13/NET33  
90                       3.54e-18   0.00e+00   0.00e+00    SRAM_16B_2  X3/X0/X1/X1/12  XI13/NET34  
91                       3.54e-18   0.00e+00   0.00e+00    SRAM_16B_2  X3/X0/X1/X1/13  XI13/NET36  
92                       3.55e-18   0.00e+00   0.00e+00    SRAM_16B_2  X3/X0/X1/X1/14  XI13/NET35  
93                       3.55e-18   0.00e+00   0.00e+00    SRAM_16B_2  X3/X1/X0/X1/11  XI14/NET33  
94                       3.54e-18   0.00e+00   0.00e+00    SRAM_16B_2  X3/X1/X0/X1/12  XI14/NET34  
95                       3.54e-18   0.00e+00   0.00e+00    SRAM_16B_2  X3/X1/X0/X1/13  XI14/NET36  
96                       3.55e-18   0.00e+00   0.00e+00    SRAM_16B_2  X3/X1/X0/X1/14  XI14/NET35  
97                       3.55e-18   0.00e+00   0.00e+00    SRAM_16B_2  X3/X1/X1/X1/11  XI15/NET33  
98                       3.54e-18   0.00e+00   0.00e+00    SRAM_16B_2  X3/X1/X1/X1/12  XI15/NET34  
99                       3.54e-18   0.00e+00   0.00e+00    SRAM_16B_2  X3/X1/X1/X1/13  XI15/NET36  
100                      3.55e-18   0.00e+00   0.00e+00    SRAM_16B_2  X3/X1/X1/X1/14  XI15/NET35  
